alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1707260541.466,elite,2473.5672515274,1638340346.2939,"AS12741 Netia SA",AS-NETIA,Boguszów-Gorce,Europe,EU,Poland,PL,,false,NETIA,50.7828,16.162,false,,true,"Lower Silesia",success,Europe/Warsaw,58-371,1706832545,1707260541.466,65000,socks4,89.171.116.65:65000,true,124.1340637207,33028,406489,7.5146126315933,89.171.116.65
true,1707260080.7517,elite,163.88278135232,1706462361.9824,"AS24940 Hetzner Online GmbH",HETZNER-AS,Hamburg,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",53.5563,9.9929,false,Hetzner,false,"Free and Hanseatic City of Hamburg",success,Europe/Berlin,20354,1707067193,1707260541.1286,1081,http,116.203.136.67:1081,true,15.227556228638,2800,6853,29.006526468455,116.203.136.67
true,1707243804.8354,elite,3071.1569102411,1694126674.4033,"AS57286 GIGAS HOSTING S.A.",ASGIGAS,Alcobendas,Europe,EU,Spain,ES,,true,"Gigas Hosting SL",40.525,-3.65578,false,"Gigas Hosting S.L.",true,Madrid,success,Europe/Madrid,28108,1706832689,1707260540.9639,80,http,195.114.209.50:80,false,137.14575767517,68412,48608,58.46180140147,195.114.209.50
true,1707260540.9618,elite,4705.5273918449,1701747603.332,"AS16276 OVH SAS",OVH,Gravelines,Europe,EU,France,FR,,true,"OVH SAS",50.9959,2.11757,false,OVH,true,Hauts-de-France,success,Europe/Paris,59820,1706832472,1707260540.9618,3096,socks5,141.94.174.6:3096,true,781.95381164551,15123,31544,32.406197098592,141.94.174.6
true,1707260540.9101,elite,2254.8756390298,1702813937.8153,"AS174 Cogent Communications",COGENT-174,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Cogent Communications",50.1109,8.68213,false,InternetINFrankfurt,true,Hesse,success,Europe/Berlin,60313,1706832744,1707260540.9101,15321,http,45.87.68.8:15321,true,150.91061592102,3843,37960,9.1931201109968,45.87.68.8
true,1707259509.4081,elite,1662.9738938654,1683982226.2318,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Minkler,"North America",NA,"United States",US,,true,"Alibaba.com LLC",36.7783,-119.418,false,ALICLOUD-US,true,California,success,America/Los_Angeles,,1706832669,1707260540.6523,8080,http,47.88.3.19:8080,false,611.13572120667,154554,44663,77.580728552282,47.88.3.19
true,1707239378.6076,elite,1480.7011249332,1676809922.4604,"AS23764 CTGNet",CTGNet,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"China Telecom Global networks",22.3193,114.169,false,,true,"Central and Western District",success,Asia/Hong_Kong,96521,1706832572,1707260540.6335,1080,http,203.19.38.114:1080,false,674.14593696594,208931,35638,85.428243154284,203.19.38.114
true,1707260421.0744,elite,915.39265857995,1668946734.3382,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.749,-84.388,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1706832840,1707260540.6127,4145,socks5,184.170.248.5:4145,true,829.00452613831,232750,19152,92.397043294615,184.170.248.5
true,1707257128.4126,elite,1912.8492050008,1594857585.3665,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4767,-87.3141,false,"Cox Communications",true,Florida,success,America/Chicago,32526,1706833087,1707260540.4796,31653,socks4,98.162.25.7:31653,true,799.10254478455,571481,74661,88.445109588914,98.162.25.7
true,1707260540.2868,elite,4584.7050714142,1705733152.1421,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1706942867,1707260540.2868,5931,socks5,45.81.232.17:5931,true,756.5770149231,4900,17344,22.028412156087,45.81.232.17
